,طريق الحرية 4: ملابس النصر - بنزينة كليوباترا (Royal),طريق الحرية 5: امام بوابة نادي سبورتنج - ميدان زويل (كوستر رقم 345),مصطفى كامل: الأكاديمية أبي قير - واحة خطاب (Royal),سموحه: فيروزة سموحه - جرين بالازا (Golden Wing),طريق الحرية 2: نفق سيدى بشر - شارع الإقبال (كوستر رقم 218),"الكورنيش: ش 45 أبو كمال, شيراتون المنتزة - كوبري قناة السويس, وادي القمر (Golden Wing)","طريق الحرية 3: شعراوى, بى تك - زيزنيا مسجد يحيى (كوستر رقم 219)",طريق الحرية 1: المعمورة الشاطئ - دوران جيهان (كوستر رقم 221),العجمى 1: البيطاش - سيدى كرير – الساحل (مينى باص الأندلس),TOTAL
Week 1 [Jun 28 – Jul 4] - Sat,1,2,,5,1,4,1,,,14
Week 1 [Jun 28 – Jul 4] - Sun,,1,,4,1,2,,,,8
Week 1 [Jun 28 – Jul 4] - Mon,2,3,,3,2,5,,,2,17
Week 1 [Jun 28 – Jul 4] - Tue,8,3,,10,3,7,,1,2,34
Week 1 [Jun 28 – Jul 4] - Wed,4,1,,7,2,5,,1,1,21
Week 1 [Jun 28 – Jul 4] - Thu,1,,,3,,2,,,,6
Week 2 [Jul 5 – Jul 11] - Sat,3,2,,8,1,5,1,,1,21
Week 2 [Jul 5 – Jul 11] - Sun,,2,,4,1,9,,,2,18
Week 2 [Jul 5 – Jul 11] - Mon,4,1,1,2,2,2,,,2,14
Week 2 [Jul 5 – Jul 11] - Tue,7,3,1,10,2,3,,,1,27
Week 2 [Jul 5 – Jul 11] - Wed,4,2,,3,2,6,,,2,19
Week 2 [Jul 5 – Jul 11] - Thu,3,,1,3,3,3,,,,13
Week 3 [Jul 12 – Jul 18] - Sat,,,,6,,4,1,,,11
Week 3 [Jul 12 – Jul 18] - Sun,1,,,3,1,1,,,,6
Week 3 [Jul 12 – Jul 18] - Mon,5,1,,3,2,3,1,,2,17
Week 3 [Jul 12 – Jul 18] - Tue,3,2,,9,3,4,,,1,22
Week 3 [Jul 12 – Jul 18] - Wed,7,,,5,2,6,1,1,1,23
Week 3 [Jul 12 – Jul 18] - Thu,3,1,,5,2,4,,,,15
Week 4 [Jul 19 – Jul 25] - Sat,,,,6,,3,,,,9
Week 4 [Jul 19 – Jul 25] - Sun,1,,1,3,1,1,1,,,8
Week 4 [Jul 19 – Jul 25] - Mon,4,1,,3,2,2,,,1,13
Week 4 [Jul 19 – Jul 25] - Tue,3,,,6,1,3,,,1,14
Week 4 [Jul 19 – Jul 25] - Wed,4,,,3,1,3,,,1,12
Week 4 [Jul 19 – Jul 25] - Thu,1,,1,3,1,3,,,,9
Week 5 [Jul 26 – Aug 1] - Sat,,,,3,,2,,,,5
Week 5 [Jul 26 – Aug 1] - Sun,2,,1,3,1,1,,,,8
Week 5 [Jul 26 – Aug 1] - Mon,4,,,3,2,2,,,1,12
Week 5 [Jul 26 – Aug 1] - Tue,3,1,,6,2,3,,,1,16
Week 5 [Jul 26 – Aug 1] - Wed,3,,,1,1,3,,,2,10
Week 5 [Jul 26 – Aug 1] - Thu,2,2,1,2,,3,,,,10
Week 6 [Aug 2 – Aug 8] - Sat,1,,,2,1,2,,,1,7
Week 6 [Aug 2 – Aug 8] - Sun,3,,1,2,2,1,,,1,10
Week 6 [Aug 2 – Aug 8] - Mon,4,,,,2,2,,,1,9
Week 6 [Aug 2 – Aug 8] - Tue,3,,,4,2,3,,,1,13
Week 6 [Aug 2 – Aug 8] - Wed,4,,,1,2,3,,,1,11
Week 6 [Aug 2 – Aug 8] - Thu,2,,1,3,,3,,,1,10
Week 7 [Aug 9 – Aug 15] - Sat,2,,,3,,2,,,1,8
Week 7 [Aug 9 – Aug 15] - Sun,3,,1,3,1,1,,,,9
Week 7 [Aug 9 – Aug 15] - Mon,4,,,2,2,2,,,1,11
Week 7 [Aug 9 – Aug 15] - Tue,3,,,5,2,3,,,1,14
Week 7 [Aug 9 – Aug 15] - Wed,4,,,3,1,3,,,1,12
Week 7 [Aug 9 – Aug 15] - Thu,3,,1,3,,3,,,1,11
TOTAL,119,28,11,166,57,132,6,3,35,557
