employee_no,manager_employee_no
1001,1399
1009,2076
1021,628
1031,2374
1049,1339
1059,454
106,1046
1067,1712
1078,1701
1087,1734
1095,1701
1102,1798
1127,1734
1132,2120
1133,2215
1137,1339
1141,2120
1142,1339
1145,1734
1146,104
1148,2081
1156,2120
117,104
1172,454
1173,454
1174,1734
1177,1339
1179,1734
1197,135
1200,1798
1204,628
1211,2120
1214,1701
1217,454
1223,628
1246,1558
1271,1558
1273,1339
1288,1339
1299,3
1308,1734
1316,628
1317,628
1322,1701
1328,2081
1332,1046
134,3
1357,2120
1374,1734
139,2078
1397,1701
1414,3
1416,1399
1418,1734
1420,1734
1422,1734
1425,1734
1437,2215
1442,1734
1448,1701
1455,1339
1457,1798
1458,1734
1461,3
1467,1734
147,1734
1476,1798
1477,1558
1485,2228
1494,1734
1495,1734
1514,1734
1521,1734
1525,1734
1526,1339
1530,1734
1538,1734
1549,1339
1554,2081
156,1701
17,1734
1705,1734
1709,1734
1712,1399
1718,1734
1726,1701
1728,1701
1729,2108
1732,1339
1733,1339
1739,454
1742,1734
1747,1701
1748,1734
1749,1734
1753,2215
1754,1734
1761,1734
1762,1734
1775,1701
1776,1734
1785,628
1786,1701
1791,1701
1795,1701
1796,1734
1799,1798
1815,1798
1818,1734
1820,1734
1823,1701
1825,1701
1827,1701
1828,1701
1829,1701
1830,1558
1832,1798
1833,1798
1835,1798
1836,1798
1837,1798
1838,1798
1839,1798
1841,1798
1842,1798
1843,1798
1846,1798
1847,1798
1848,1798
1849,1798
1850,1798
1851,1798
1855,1798
1857,1798
1858,1798
1859,1798
1861,1798
1862,1798
1863,1798
1870,1798
1872,1798
1873,1798
1874,1798
1875,1798
1879,1798
1880,1798
1881,1798
1883,1798
1884,1798
1885,1798
1886,1558
1887,1798
1889,1734
1892,1734
1894,1701
1897,1734
1898,1701
1906,1798
1908,1798
1912,1798
1914,1798
1915,1798
1916,1798
1917,1798
1918,1798
1919,1798
1920,1798
1921,1798
1922,1798
1923,1798
1924,1798
1925,1798
1926,1798
1928,1798
1929,1798
1930,1798
1931,1798
1932,1798
1933,1798
1934,1798
1935,1798
1936,1798
1944,1701
1945,1558
1946,1798
1949,1798
1950,1798
1951,1798
1952,1798
1953,1798
1954,1798
1955,1798
1956,1798
1957,1798
1958,1798
1959,1798
1961,1798
1962,1798
1963,1798
197,1558
1972,1734
1973,1734
1974,1734
1977,1798
1979,1798
1982,1798
1983,1798
1985,1798
1989,1798
199,3
1990,1798
1991,1798
1992,1798
1995,1798
1999,1558
20,3
2000,1701
2003,1798
2004,1798
2005,1798
2007,1798
2008,2228
2013,628
2014,2215
2019,580
2024,1339
2027,1734
2028,628
2035,1701
2036,1558
2040,1734
2041,628
2043,1798
2044,1798
2045,1798
2047,1558
2049,1188
2055,1734
2060,1734
2062,1734
2065,2120
2066,2120
2067,2120
2068,2120
2069,2120
2070,2120
2072,2120
2073,1734
2074,454
2075,1798
2082,1734
2086,1701
2087,1339
2089,1734
2094,1188
2095,1798
2099,1798
2101,1798
2102,1798
2103,1798
2106,2076
2107,2403
2110,2120
2113,1734
2115,2076
2117,1046
2118,1734
2119,1734
2122,1734
2124,2374
2126,2120
2129,1339
2131,2374
2132,1798
2133,1558
2134,1734
2139,1734
2143,1734
2146,1798
2150,1734
2151,1734
2152,1339
2157,1734
2159,1798
2160,1798
2161,1734
2165,2120
2166,1798
2167,1798
2168,1339
2169,1798
2171,1798
2172,1798
2174,1339
2175,2120
2176,2120
2178,1798
2180,1701
2181,1339
2183,1701
2185,1798
2187,1798
2189,2390
2190,2390
2193,1701
2201,1339
2202,1339
2204,2374
2205,1339
2208,1734
2209,1701
2211,628
2212,628
2213,2374
2214,1734
2216,1734
2217,1798
2218,1734
2219,1339
2220,2120
2221,2120
2222,1497
2226,3
2234,1701
2235,1558
2238,1701
2241,2076
2242,1701
2244,628
2246,1734
2247,3
2248,1339
2249,1339
2250,1701
2252,1558
2254,628
2259,1798
2260,1339
2261,1339
2262,1339
2263,1558
2265,1734
2266,1798
2268,1558
2269,1339
2270,1339
2271,1339
2272,1734
2273,1798
2274,104
2275,1798
2279,2367
2281,2367
2282,1798
2283,1734
2285,1734
2286,1734
2287,1339
2288,1701
2289,104
2290,1701
2291,1734
2293,1701
2295,1701
2296,1701
2297,2076
2302,1798
2303,1188
2304,1701
2305,1734
2306,1798
2307,1798
2308,1798
2309,454
2310,1701
2311,2367
2313,1701
2315,1339
2316,1339
2317,1339
2318,1798
2319,1339
2320,1339
2321,1558
2322,1046
2323,1339
2324,1339
2325,454
2327,2367
2328,2367
2329,628
2330,628
2331,1701
2332,1798
2333,1701
2335,2334
2336,2334
2337,2334
2338,2334
2339,2334
2340,2334
2342,2334
2343,1558
2344,1339
2345,1339
2346,1798
2347,1701
2348,1701
2349,1734
2350,628
2351,1734
2352,1339
2353,1339
2354,2334
2355,1701
2356,1339
2357,2367
2358,1701
2359,2367
2360,2367
2361,1558
2363,1701
2365,1734
2368,1798
2369,2076
2370,2076
2371,1798
2372,1701
2373,2374
2376,1188
2377,2390
2378,2076
2379,1701
2380,2076
2381,1734
2382,2076
2383,1734
2384,1734
2385,2081
2386,628
2387,1558
2388,1558
2391,2374
2392,1798
2393,2367
2394,2076
2395,2076
2396,2374
2398,1734
2399,2076
2400,2081
2401,628
2402,454
2404,1734
2405,628
2406,2403
2407,628
2408,2390
2409,1701
2410,628
2411,454
2414,2334
31,1734
364,2228
367,1734
385,1734
386,1734
398,454
4,3
409,3
41,104
433,104
45,580
481,1339
545,1188
570,2120
582,628
599,2390
629,1734
642,3
656,1734
663,1734
745,1046
746,3
759,1734
763,1734
785,1339
853,1734
870,2403
871,1399
88,3
9091702,1399
9091710,1399
91,1558
929,2374
946,1399
96,3
967,2215
979,1399
980,1399
99000,1399
99001,1399
99010,1399
ADMIN-AHMED,2081
EDGE111955,454
EDGE114255,454
EDGE120636,454
EDGE124418,454
EDGE131925,454
EDGE132220,454
SIM093020,1399
SIM093747,1399
SIM093849,1399
SIM101035,1399
SIM101422,1399
SIM101616,1399
SIM111953,1399
SIM114254,1399
SIM120634,1399
SIM124416,1399
SIM131923,1399
SIM132218,1399
