month,building_401_kwh,building_2401_kwh,total_kwh
2023-01-01,115382.0,120610.0,235992.0
2023-02-01,103340.0,101343.0,204683.0
2023-03-01,105927.0,93214.0,199141.0
2023-04-01,117759.0,108461.0,226220.0
2023-05-01,110347.0,99877.0,210224.0
2023-06-01,113346.0,100961.0,214307.0
2023-07-01,135858.0,148521.0,284379.0
2023-08-01,112649.0,120370.0,233019.0
2023-09-01,120814.0,127254.0,248068.0
2023-10-01,126386.0,137655.0,264041.0
2023-11-01,112837.0,120993.0,233830.0
2023-12-01,117790.0,139373.0,257163.0
2024-01-01,111359.0,121330.0,232689.0
2024-02-01,97263.0,102101.0,199364.0
2024-03-01,95113.0,99299.0,194412.0
2024-04-01,87218.0,96150.0,183368.0
2024-05-01,77746.0,82610.0,160356.0
2024-06-01,109777.0,103721.0,213498.0
2024-07-01,155548.0,150839.0,306387.0
2024-08-01,115568.0,109794.0,225362.0
2024-09-01,137560.0,128355.0,265915.0
2024-12-01,125459.0,127958.0,253417.0
2025-01-01,102491.0,101366.0,203857.0
2025-02-01,98601.0,100569.0,199170.0
2025-03-01,96374.0,96538.0,192912.0
2025-04-01,83200.0,85765.0,168965.0
