month,building_401_m3,building_2401_m3,total_m3
2023-01-01,596.0,777.0,1373.0
2023-02-01,597.0,778.0,1375.0
2023-03-01,605.0,675.0,1280.0
2023-04-01,605.0,675.0,1280.0
2023-05-01,314.0,393.0,707.0
2023-06-01,314.0,393.0,707.0
2023-07-01,390.0,568.0,958.0
2023-08-01,390.0,569.0,959.0
2023-09-01,388.0,592.0,980.0
2023-10-01,388.0,592.0,980.0
2023-11-01,570.0,738.0,1308.0
2023-12-01,570.0,738.0,1308.0
2024-01-01,370.0,480.0,850.0
2024-02-01,370.0,480.0,850.0
2024-03-01,369.0,453.0,822.0
2024-04-01,370.0,454.0,824.0
2024-05-01,403.0,422.0,825.0
2024-06-01,404.0,422.0,826.0
