category,activity_data,unit,quantity
Consumable Purchased Goods,Paper,Ton,137.5
Consumable Purchased Goods,Envelopes,Unit,550
Consumable Purchased Goods,Ink / cartridge,Unit,3500
Consumable Purchased Goods,Toner cartridges,Unit,30
Consumable Purchased Goods,Toner printer,Unit,15
Hygiene Supplies,Soap,Unit,29000
Hygiene Supplies,Tissues,Unit,38650
Capital Goods,Furniture,Unit,70
Capital Goods,Facilities,Unit,100
Fertilizers,Urea / ammonium nitrate / etc.,Unit,40
Fuel & Energy Related,Electricity T&D losses,Unit,200400
Water Usage / Waste,Annual water consumption,m3,250000
Upstream Transportation,Rental vehicles fuel,Unit,220000
Upstream Leased Assets,Rented office buildings - electricity,kWh,960
Upstream Leased Assets,Rented office buildings - water,m3,200
