
=== Sheet: APRIL 2026 ===
GOFSCO ALL DEPARTMENT CONSUMPTION (MIV) LIST MONTH APR. 2026 |  |  |  |  |  |  |  |  |  |  | 
S.NO. | MIV NUMBER | ITME CODE | DESCRIPTION | PART NUMBER | QTY | UOM | DEPARTMENT | LOCATION | ISSUED DATE | UNIT COST | TOTAL COST
1 | INT00007903 | HSED-2365 | COVERALL IFR 4013 VIBGYOR RED COLOR WITH LOGO | OVERALL IFR 4013 VIBGYOR RED COLOR WITH LOGO | 5 | EA | DRILLING | 923 | 2026-04-06 00:00:00 | 24 | 120
2 | INT00007904 | HSED-2321 | SAFETY BOOT (BICAP)6060/6E | SAFETY BOOT (BICAP)6060/6E | 2 | EA | DRILLING | 923 | 2026-04-06 00:00:00 | 23 | 46
3 | INT00007904 | HSED-2365 | COVERALL IFR 4013 VIBGYOR RED COLOR WITH LOGO | OVERALL IFR 4013 VIBGYOR RED COLOR WITH LOGO | 11 | EA | DRILLING | 923 | 2026-04-06 00:00:00 | 24 | 264
4 | INT00007905 | HSED-2365 | COVERALL IFR 4013 VIBGYOR RED COLOR WITH LOGO | OVERALL IFR 4013 VIBGYOR RED COLOR WITH LOGO | 1 | EA | DRILLING | 923 | 2026-04-06 00:00:00 | 24 | 24
5 | INT00007905 | HSED-2321 | SAFETY BOOT (BICAP)6060/6E | SAFETY BOOT (BICAP)6060/6E | 1 | EA | DRILLING | 923 | 2026-04-06 00:00:00 | 23 | 23
6 | INT00007905 | HSED-2307 | SAFETY HELMET BRIM WHITE | SAFETY HELMET BRIM WHITE 3M | 1 | EA | DRILLING | 923 | 2026-04-06 00:00:00 | 5 | 5
7 | INT00007905 | HSED-2308 | SAFETY GLASS CLEAR | SAFETY GLASS CLEAR | 1 | EA | DRILLING | 923 | 2026-04-06 00:00:00 | 0.75 | 0.75
8 | INT00007906 | HSED-2365 | COVERALL IFR 4013 VIBGYOR RED COLOR WITH LOGO | OVERALL IFR 4013 VIBGYOR RED COLOR WITH LOGO | 1 | EA | DRILLING | 923 | 2026-04-06 00:00:00 | 24 | 24
9 | INT00007907 | HSED-2365 | COVERALL IFR 4013 VIBGYOR RED COLOR WITH LOGO | OVERALL IFR 4013 VIBGYOR RED COLOR WITH LOGO | 1 | EA | DRILLING | 923 | 2026-04-06 00:00:00 | 24 | 24
10 | INT00007907 | HSED-2321 | SAFETY BOOT (BICAP)6060/6E | SAFETY BOOT (BICAP)6060/6E | 1 | EA | DRILLING | 923 | 2026-04-06 00:00:00 | 23 | 23
11 | INT00007907 | HSED-2307 | SAFETY HELMET BRIM WHITE | SAFETY HELMET BRIM WHITE 3M | 1 | EA | DRILLING | 923 | 2026-04-06 00:00:00 | 5 | 5
12 | INT00007907 | HSED-2308 | SAFETY GLASS CLEAR | SAFETY GLASS CLEAR | 1 | EA | DRILLING | 923 | 2026-04-06 00:00:00 | 0.75 | 0.75
13 | INT00007908 | FITG-0801 | 1/2"NPT M X 1/2"NPT F BALL VALVE , SS316,10K PSI | 1/2"NPT M X 1/2"NPT F BALL VALVE , SS316,10K PSI | 5 | EA | WELL TEST | 602 | 2026-04-07 00:00:00 | 7.02 | 35.1
14 | INT00007909 | CONS-0038 | CO2 GAS DETECTOR, 5-50% | CO2 GAS DETECTOR, 5-50% | 1 | PKT | WELL TEST | 602 | 2026-04-07 00:00:00 | 13.492 | 13.492
15 | INT00007909 | CONS-0043 | H2S GAS DETECTOR, 0.1-4.0% | H2S GAS DETECTOR, 0.1-4.0% | 1 | PKT | WELL TEST | 602 | 2026-04-07 00:00:00 | 7.112 | 7.112
16 | INT00007909 | CONS-0261 | BSW SAMBLING GLASS CONE (100 ML GRADUATED) | 404A002 | 1 | EA | WELL TEST | 602 | 2026-04-07 00:00:00 | 20.049 | 20.049
17 | INT00007910 | MECH-0611 | HJ SVC KIT, 1.88" 1.06"UN 1.75"FN | V-B058-002KRS | 1 | KIT | SLICK LINE | 201 | 2026-04-07 00:00:00 | 6.812 | 6.812
18 | INT00007911 | MECH-1069 | HW-CAL-8.5,CALLISTO FULL SCALL LOGPAPER5000SHEET24#6.25X8.5 | HW-CAL-8.5 | 1 | EA | WIRELINE | 917 | 2026-04-07 00:00:00 | 76.286 | 76.286
19 | INT00007912 | HSED-0084 | SAFETY GLASS CLEAR | SAFETY GLASS CLEAR | 8 | EA | HEALTH & SAFETY | 000 | 2026-04-07 00:00:00 | 0.7 | 5.6
20 | INT00007912 | HSED-0084 | SAFETY GLASS CLEAR | SAFETY GLASS CLEAR | 2 | EA | HEALTH & SAFETY | 000 | 2026-04-07 00:00:00 | 0.7 | 1.4
21 | INT00007912 | HSED-0084 | SAFETY GLASS CLEAR | SAFETY GLASS CLEAR | 9 | EA | HEALTH & SAFETY | 000 | 2026-04-07 00:00:00 | 0.7 | 6.3
22 | INT00007912 | HSED-0085 | SAFETY GLASSES SHADED | SAFETY GLASSES SHADED | 8 | EA | HEALTH & SAFETY | 000 | 2026-04-07 00:00:00 | 0.7 | 5.6
23 | INT00007912 | HSED-0085 | SAFETY GLASSES SHADED | SAFETY GLASSES SHADED | 9 | EA | HEALTH & SAFETY | 000 | 2026-04-07 00:00:00 | 0.7 | 6.3
24 | INT00007912 | HSED-0085 | SAFETY GLASSES SHADED | SAFETY GLASSES SHADED | 1 | EA | HEALTH & SAFETY | 000 | 2026-04-07 00:00:00 | 0.7 | 0.7
25 | INT00007912 | HSED-0085 | SAFETY GLASSES SHADED | SAFETY GLASSES SHADED | 2 | EA | HEALTH & SAFETY | 000 | 2026-04-07 00:00:00 | 0.7 | 1.4
26 | INT00007912 | HSED-0005 | HELMET, SAFETY, W/RATCHET SUSPENSION, WHITE, MSA (HARD HAT) | HELMET, SAFETY, W/RATCHET | 3 | EA | HEALTH & SAFETY | 000 | 2026-04-07 00:00:00 | 3.5 | 10.5
27 | INT00007913 | CTUB-0823 | NE-070-0028-175, PACKER ELEMENT | NE-070-0028-175 | 1 | EA | COIL TUBE | 911 | 2026-04-09 00:00:00 | 42.896 | 42.896
28 | INT00007913 | CTUB-0432 | PACKER INTERLOCK 4.00 OD 1.75 CT 4.0 LG R/B | 8412-6044 | 1 | EA | COIL TUBE | 911 | 2026-04-09 00:00:00 | 20.571 | 20.571
29 | INT00007914 | CTUB-1026 | REVERSE ALARM FOR TRACTOR HEAD- 24 V - WATERPROOF | REVERSE ALARM FOR TRACTOR HEAD- 24 V - WATERPROOF_x000D_ | 5 | EA | COIL TUBE | 911 | 2026-04-09 00:00:00 | 4.4 | 22
30 | INT00007915 | CTUB-0954 | 5" BUTTERFLY VALVE ACID RESISTANT | 5" BFV | 1 | EA | COIL TUBE | 911 | 2026-04-09 00:00:00 | 76.997 | 76.997
31 | INT00007916 | CTUB-1085 | FC-5509, FUEL FILTER (SAKURA) | FC-5509 / FF5319 | 2 | EA | COIL TUBE | 911 | 2026-04-09 00:00:00 | 3.5 | 7
32 | INT00007916 | CTUB-0210 | E500KP02 D36, FUEL FILTER - HENGST | E500KP02 D36 | 1 | EA | COIL TUBE | 911 | 2026-04-09 00:00:00 | 2.75 | 2.75
33 | INT00007917 | CTUB-0848 | CM-00073, FEEDTHRU K-16 2P | CM-00073, FEEDTHRU K-16 2P_x000D_ | 1 | EA | COIL TUBE | 911 | 2026-04-09 00:00:00 | 65.369 | 65.369
34 | INT00007918 | CTUB-0658 | SC168-043-R09, HEAD SHAFT WEDLMENT | SC168-043-R09 | 1 | EA | COIL TUBE | 911 | 2026-04-09 00:00:00 | 465.757 | 465.757
35 | INT00007918 | CTUB-1105 | SPINCAT 168 SEAL REDRESS KIT | SPINCAT 168 SEAL REDRESS KIT_x000D_ | 1 | KIT | COIL TUBE | 911 | 2026-04-09 00:00:00 | 277.489 | 277.489
36 | INT00007918 | CTUB-1106 | SPINCAT 168 OVERHAUL KIT | SPINCAT 168 OVERHAUL KIT_x000D_ | 1 | KIT | COIL TUBE | 911 | 2026-04-09 00:00:00 | 170.686 | 170.686
37 | INT00007918 | CTUB-0553 | AP2098, 1/8"NPT NOZZLE 0.098 ORIFICE | AP2098 | 10 | EA | COIL TUBE | 911 | 2026-04-09 00:00:00 | 12.1851 | 121.851
38 | INT00007918 | CTUB-0325 | SC168-030, SLEEVE | SC168-030 | 1 | EA | COIL TUBE | 911 | 2026-04-09 00:00:00 | 28.974 | 28.974
39 | INT00007918 | CTUB-0324 | SC168-025, SPRING | SC168-025 | 1 | EA | COIL TUBE | 911 | 2026-04-09 00:00:00 | 29.543 | 29.543
40 | INT00007918 | CTUB-1107 | SC168 002-AMMT, INLET NUT | SC168 002-AMMT | 1 | EA | COIL TUBE | 911 | 2026-04-09 00:00:00 | 476.893 | 476.893
41 | INT00007918 | CTUB-0656 | SC-168-003, BODY | SC168-003 | 1 | EA | COIL TUBE | 911 | 2026-04-09 00:00:00 | 279.907 | 279.907
42 | INT00007918 | CTUB-0655 | TJ-007, BEARING | TJ-007 | 2 | EA | COIL TUBE | 911 | 2026-04-09 00:00:00 | 14.1735 | 28.347
43 | INT00007918 | CTUB-0321 | SC168-007, SHAFT SEAL | SC168-007 | 1 | EA | COIL TUBE | 911 | 2026-04-09 00:00:00 | 14.058 | 14.058
44 | INT00007918 | CTUB-0663 | SC212 610, SPINCAT 212 OVERHAUL KIT | SC212 610 | 1 | KIT | COIL TUBE | 911 | 2026-04-09 00:00:00 | 341.198 | 341.198
45 | INT00007919 | CTUB-0675 | LANDING GEARS | A400.T.19, OPT840T-1 | 1 | SET | COIL TUBE | 911 | 2026-04-09 00:00:00 | 110 | 110
46 | INT00007920 | CTUB-0060 | 3245443,WECO SEAL RING UNION 2FIG 602, 1002, 1502 (WBRASS RI | 3245443 | 5 | EA | COIL TUBE | 911 | 2026-04-09 00:00:00 | 0.5928 | 2.964
47 | INT00007920 | CTUB-0991 | REPAIR KIT PLUG VALVE ULT MODEL 1"X2"FIG 1502,STD SERVICE | REPAIR KIT PV ULT MODEL 1"X2" | 1 | KIT | COIL TUBE | 911 | 2026-04-09 00:00:00 | 58.045 | 58.045
48 | INT00007921 | CTUB-0823 | NE-070-0028-175, PACKER ELEMENT | NE-070-0028-175 | 1 | EA | COIL TUBE | 911 | 2026-04-09 00:00:00 | 42.896 | 42.896
49 | INT00007922 | CTUB-0872 | X26-02-009,PLUG,PIPE 1/4"-18NPT,HEX SOCKET PLATED | X26-02-009 | 1 | EA | COIL TUBE | 911 | 2026-04-09 00:00:00 | 0.595 | 0.595
50 | INT00007923 | CTUB-1066 | P60-30-602, VALVE BODY (2 3/4"-3") | P60-30-602 | 4 | EA | COIL TUBE | 911 | 2026-04-09 00:00:00 | 10.898 | 43.592
51 | INT00007923 | CTUB-0873 | P60-30-601, INSERT VALVE 3" | P60-30-601 | 7 | EA | COIL TUBE | 911 | 2026-04-09 00:00:00 | 2.426143 | 16.983001
52 | INT00007924 | CTUB-1066 | P60-30-602, VALVE BODY (2 3/4"-3") | P60-30-602 | 6 | EA | COIL TUBE | 911 | 2026-04-09 00:00:00 | 10.898 | 65.388
53 | INT00007924 | CTUB-0873 | P60-30-601, INSERT VALVE 3" | P60-30-601 | 6 | EA | COIL TUBE | 911 | 2026-04-09 00:00:00 | 2.426167 | 14.557002
54 | INT00007925 | CHEM-0031 | MUTUAL SOLVENT | MS-101, BG2040, BUTYL GLYCOL | 153 | GAL | COIL TUBE | 911 | 2026-04-09 00:00:00 | 0.918725 | 140.564925
55 | INT00007926 | CHEM-0031 | MUTUAL SOLVENT | MS-101, BG2040, BUTYL GLYCOL | 45 | GAL | COIL TUBE | 911 | 2026-04-09 00:00:00 | 0.9 | 40.5
56 | INT00007927 | CHEM-0010 | SODA ASH | SODA ASH | 55 | LBS | COIL TUBE | 911 | 2026-04-09 00:00:00 | 0.067691 | 3.723005
57 | INT00007927 | CHEM-0012 | EDTA 4-NA, CITRIC ACID | CITRIC ACID, EDTA 4-NA | 110 | LBS | COIL TUBE | 911 | 2026-04-09 00:00:00 | 0.145 | 15.95
58 | INT00007927 | CHEM-0025 | AMMONIUM BIFLOURIDE (NH4HF2) | AMMONIUM BIFLOURIDE (NH4HF2) | 110 | LBS | COIL TUBE | 911 | 2026-04-09 00:00:00 | 0.295 | 32.45
59 | INT00007927 | CHEM-0028 | CORROSION INHIBITOR (BELOW 200F) | CI-496, AI-606 | 17 | GAL | COIL TUBE | 911 | 2026-04-09 00:00:00 | 2.5 | 42.5
60 | INT00007927 | CHEM-0030 | SURFACTANT | SF-103, SURF-30, HYFRAC NE-1 | 16 | GAL | COIL TUBE | 911 | 2026-04-09 00:00:00 | 1.455 | 23.28
61 | INT00007927 | CHEM-0031 | MUTUAL SOLVENT | MS-101, BG2040, BUTYL GLYCOL | 84 | GAL | COIL TUBE | 911 | 2026-04-09 00:00:00 | 0.9 | 75.6
62 | INT00007927 | CHEM-0033 | EMULSIFYING AGENT(EMULSIFIER)HT | AE-301E | 30 | GAL | COIL TUBE | 911 | 2026-04-09 00:00:00 | 3.98 | 119.4
63 | INT00007928 | CONS-0031 | CO2 DETECTION TUBES 1-20% | CO2 DETECTION TUBES 1-20% | 1 | PKT | WELL TEST | 602 | 2026-04-13 00:00:00 | 7.112 | 7.112
64 | INT00007928 | CONS-0032 | CO2 DETECTION TUBES 0.1-5.2% | CO2 DETECTION TUBES 0.1-5.2% | 1 | PKT | WELL TEST | 602 | 2026-04-13 00:00:00 | 7.112 | 7.112
65 | INT00007928 | CONS-0036 | H2S GAS DETECTOR, 25-2000 PPM | H2S GAS DETECTOR, 25-2000 PPM | 1 | PKT | WELL TEST | 602 | 2026-04-13 00:00:00 | 7.112 | 7.112
66 | INT00007928 | CONS-0043 | H2S GAS DETECTOR, 0.1-4.0% | H2S GAS DETECTOR, 0.1-4.0% | 1 | PKT | WELL TEST | 602 | 2026-04-13 00:00:00 | 7.112 | 7.112
67 | INT00007928 | INST-0033 | PRESSURE TRANSMITTER (0-2000 PSI) (2 BOXES) | PRESSURE TRANSMITTER (0-2000 PSI) | 1 | EA | WELL TEST | 602 | 2026-04-13 00:00:00 | 22.574 | 22.574
68 | INT00007928 | FITG-0801 | 1/2"NPT M X 1/2"NPT F BALL VALVE , SS316,10K PSI | 1/2"NPT M X 1/2"NPT F BALL VALVE , SS316,10K PSI | 3 | EA | WELL TEST | 602 | 2026-04-13 00:00:00 | 7.02 | 21.06
69 | INT00007929 | INST-0049 | DIFFEREN. PRESS.TRANSMITTER (0-1000"H2O)2000PSI WP1/4"FNPT | DIFFEREN. PRESS.TRANSMITTER (0-1000"H2O)20 ( | 1 | EA | WELL TEST | 602 | 2026-04-13 00:00:00 | 154.882 | 154.882
70 | INT00007930 | HSED-2365 | COVERALL IFR 4013 VIBGYOR RED COLOR WITH LOGO | OVERALL IFR 4013 VIBGYOR RED COLOR WITH LOGO | 11 | EA | DRILLING | 923 | 2026-04-13 00:00:00 | 24 | 264
71 | INT00007931 | FITG-1992 | ESD-16R43-KNOB RED | ESD-16R43 | 75 | EA | KHAFJI | 904 | 2026-04-14 00:00:00 | 4.550067 | 341.255025
72 | INT00007931 | FITG-1993 | 16RS36-RK, REPAIR KIT | 16RS36-RK | 10 | KIT | KHAFJI | 904 | 2026-04-14 00:00:00 | 5.4711 | 54.711
73 | INT00007932 | HSED-0004 | COVERALL, SAFETY | COVERALL | 2 | EA | HEALTH & SAFETY | 000 | 2026-04-14 00:00:00 | 11.25 | 22.5
74 | INT00007932 | HSED-0004 | COVERALL, SAFETY | COVERALL | 2 | EA | HEALTH & SAFETY | 000 | 2026-04-14 00:00:00 | 11.25 | 22.5
75 | INT00007932 | HSED-0004 | COVERALL, SAFETY | COVERALL | 1 | EA | HEALTH & SAFETY | 000 | 2026-04-14 00:00:00 | 11.25 | 11.25
76 | INT00007932 | HSED-2321 | SAFETY BOOT (BICAP)6060/6E | SAFETY BOOT (BICAP)6060/6E | 2 | EA | HEALTH & SAFETY | 000 | 2026-04-14 00:00:00 | 23 | 46
77 | INT00007932 | HSED-0035 | SAFETY SHOES, STD. | SAFETY SHOES, STD. | 1 | PAIR | HEALTH & SAFETY | 000 | 2026-04-14 00:00:00 | 5.65 | 5.65
78 | INT00007932 | HSED-0084 | SAFETY GLASS CLEAR | SAFETY GLASS CLEAR | 1 | EA | HEALTH & SAFETY | 000 | 2026-04-14 00:00:00 | 0.7 | 0.7
