
=== Sheet: APRIL 2026 ===
GOFSCO ALL DEPTS. RECEIPT VOUCHERS (MRV) ITEMS MONTH APRIL 2026 |  |  |  |  |  |  |  |  |  |  |  |  |  | 
S.NO. | RCP NUMBER | ITEM CODE | VENDOR NAME | ITEM DESCRIPTION | PART NUMBER | QTY. | UOM | DEPARTMENT | LOCATION | DATE | UNIT COST | DISCOUNT | TOTAL COST | 
1 | RCP0005530 | CHEM-0031 | KCH - KUWAIT CHEMICAL HOUSE | MUTUAL SOLVENT | MS-101, BG2040, BUTYL GLYCOL | 5500 | GAL | COIL TUBE | 911 | 2026-04-06 00:00:00 | 0.9 | 0 | 4950 | 
2 | RCP0005530 | CHEM-0012 | KCH - KUWAIT CHEMICAL HOUSE | EDTA 4-NA, CITRIC ACID | CITRIC ACID, EDTA 4-NA | 11000 | LBS | COIL TUBE | 911 | 2026-04-06 00:00:00 | 0.145 | 0 | 1595 | 
3 | RCP0005530 | CHEM-0040 | KCH - KUWAIT CHEMICAL HOUSE | CORROSION INHIBITOR AID | FA-100 | 440 | GAL | COIL TUBE | 911 | 2026-04-06 00:00:00 | 0.88 | 0 | 387.2 | 
4 | RCP0005531 | CHEM-0026 | KCH - KUWAIT CHEMICAL HOUSE | TN002, TOLUENE | TOLUENE, TN002 | 4400 | GAL | COIL TUBE | 911 | 2026-04-06 00:00:00 | 0.75 | 0 | 3300 | 
5 | RCP0005532 | CHEM-0026 | KCH - KUWAIT CHEMICAL HOUSE | TN002, TOLUENE | TOLUENE, TN002 | 4400 | GAL | COIL TUBE | 911 | 2026-04-06 00:00:00 | 0.75 | 0 | 3300 | 
6 | RCP0005533 | CHEM-0026 | KCH - KUWAIT CHEMICAL HOUSE | TN002, TOLUENE | TOLUENE, TN002 | 4400 | GAL | COIL TUBE | 911 | 2026-04-06 00:00:00 | 0.75 | 0 | 3300 | 
7 | RCP0005534 | CTUB-0888 | QUART - QUART ENERGY SERVICES LTD | P60-30-848, SEAL, DEFLECTOR SCRAPER 3" | P60-30-848 | 35 | EA | COIL TUBE | 911 | 2026-04-09 00:00:00 | 45.0909428571429 | 0 | 1578.183 | 
8 | RCP0005534 | CTUB-0873 | QUART - QUART ENERGY SERVICES LTD | P60-30-601, INSERT VALVE 3" | P60-30-601 | 250 | EA | COIL TUBE | 911 | 2026-04-09 00:00:00 | 2.179348 | 0 | 544.837 | 
9 | RCP0005534 | CTUB-1060 | QUART - QUART ENERGY SERVICES LTD | 7000000457, D-RING | 7000000457 | 60 | EA | COIL TUBE | 911 | 2026-04-09 00:00:00 | 2.02586666666667 | 0 | 121.552 | 
10 | RCP0005534 | CTUB-1061 | QUART - QUART ENERGY SERVICES LTD | 7000000456, D-RING | 7000000456 | 60 | EA | COIL TUBE | 911 | 2026-04-09 00:00:00 | 2.02586666666667 | 0 | 121.552 | 
11 | RCP0005534 | CTUB-1062 | QUART - QUART ENERGY SERVICES LTD | P902503000, PACKING, SPS, HEADER RING | P902503000 | 60 | EA | COIL TUBE | 911 | 2026-04-09 00:00:00 | 6.7529 | 0 | 405.174 | 
12 | RCP0005534 | CTUB-1063 | QUART - QUART ENERGY SERVICES LTD | P903503000, PACKING, SPS, VD RING | P903503000 | 60 | EA | COIL TUBE | 911 | 2026-04-09 00:00:00 | 9.7917 | 0 | 587.502 | 
13 | RCP0005534 | CTUB-1064 | QUART - QUART ENERGY SERVICES LTD | P904503000, PACKING, SPS, FEMALE ADAPTER | P904503000 | 60 | EA | COIL TUBE | 911 | 2026-04-09 00:00:00 | 18.20215 | 0 | 1092.129 | 
14 | RCP0005534 | CTUB-1065 | QUART - QUART ENERGY SERVICES LTD | P906503000, PACKING, SPS, OL SEAL | P906503000 | 60 | EA | COIL TUBE | 911 | 2026-04-09 00:00:00 | 3.37645 | 0 | 202.587 | 
15 | RCP0005534 | CTUB-1066 | QUART - QUART ENERGY SERVICES LTD | P60-30-602, VALVE BODY (2 3/4"-3") | P60-30-602 | 80 | EA | COIL TUBE | 911 | 2026-04-09 00:00:00 | 10.6511625 | 0 | 852.093 | 
16 | RCP0005534 | CTUB-0889 | QUART - QUART ENERGY SERVICES LTD | P60-30-818, DIAPHRAGM OIL SEAL,3"X4.003"X0.375" | P60-30-818 | 20 | EA | COIL TUBE | 911 | 2026-04-09 00:00:00 | 11.26505 | 0 | 225.301 | 
17 | RCP0005535 | FITG-1992 | STURROCK - STURROCK AND ROBSON USA SERVICES , INC. DBA/SIGMAHLR | ESD-16R43-KNOB RED | ESD-16R43 | 75 | EA | KHAFJI | 904 | 2026-04-14 00:00:00 | 3.6834 | 0 | 276.255 | 
18 | RCP0005535 | FITG-1993 | STURROCK - STURROCK AND ROBSON USA SERVICES , INC. DBA/SIGMAHLR | 16RS36-RK, REPAIR KIT | 16RS36-RK | 10 | KIT | KHAFJI | 904 | 2026-04-14 00:00:00 | 4.6043 | 0 | 46.043 | 
19 | RCP0005536 | CHEM-0024 | SOUTHFIELD - SOUTHFIELD GENERAL TRADING COMPANY | HYDROCHLORIC ACID 32% HCL | HYDROCHLORIC ACID 32% HCL | 12100 | GAL | COIL TUBE | 911 | 2026-04-16 00:00:00 | 0.187 | 0 | 2262.7 | 
20 | RCP0005539 | CONS-0360 | ARWA - ARWA GULF GEN. TRAD. & CONT. CO.W.L.L | BOTTLED WATER (CARTON=20 X 330ML | CARTON=20 X 330ML | 297 | CTN | WELL TEST | 602 | 2026-04-20 00:00:00 | 0.385 | 0 | 114.345 | 
21 | RCP0005540 | CONS-0360 | ARWA - ARWA GULF GEN. TRAD. & CONT. CO.W.L.L | BOTTLED WATER (CARTON=20 X 330ML | CARTON=20 X 330ML | 287 | CTN | WELL TEST | 602 | 2026-04-20 00:00:00 | 0.385 | 0 | 110.495 | 
22 | RCP0005541 | CONS-0360 | ARWA - ARWA GULF GEN. TRAD. & CONT. CO.W.L.L | BOTTLED WATER (CARTON=20 X 330ML | CARTON=20 X 330ML | 287 | CTN | WELL TEST | 602 | 2026-04-20 00:00:00 | 0.385 | 0 | 110.495 | 
23 | RCP0005542 | CONS-0360 | ARWA - ARWA GULF GEN. TRAD. & CONT. CO.W.L.L | BOTTLED WATER (CARTON=20 X 330ML | CARTON=20 X 330ML | 287 | CTN | WELL TEST | 602 | 2026-04-20 00:00:00 | 0.385 | 0 | 110.495 | 
24 | RCP0005543 | LUBR-0047 | KUWAIT DANA - KUWAIT DANA LUBES COMPANY | 15 W-40 ENGINE OIL | 15 W-40 | 3 | DRM | DRILLING | 923 | 2026-04-20 00:00:00 | 116 | 0 | 348 | 
25 | RCP0005543 | LUBR-0039 | KUWAIT DANA - KUWAIT DANA LUBES COMPANY | HYDRAULIC OIL 46(208L) | HYDRAULIC OIL 46(208L) | 4 | DRM | DRILLING | 923 | 2026-04-20 00:00:00 | 119 | 0 | 476 | 
26 | RCP0005543 | LUBR-0049 | KUWAIT DANA - KUWAIT DANA LUBES COMPANY | AUTOMATIC TRANSMISSION FLUID | AUTO | 2 | DRM | DRILLING | 923 | 2026-04-20 00:00:00 | 154 | 0 | 308 | 
27 | RCP0005543 | LUBR-0047 | KUWAIT DANA - KUWAIT DANA LUBES COMPANY | 15 W-40 ENGINE OIL | 15 W-40 | 1 | DRM | DRILLING | 923 | 2026-04-20 00:00:00 | 116 | 0 | 116 | 
28 | RCP0005543 | LUBR-0039 | KUWAIT DANA - KUWAIT DANA LUBES COMPANY | HYDRAULIC OIL 46(208L) | HYDRAULIC OIL 46(208L) | 1 | DRM | DRILLING | 923 | 2026-04-20 00:00:00 | 119 | 0 | 119 | 
29 | RCP0005543 | LUBR-0051 | KUWAIT DANA - KUWAIT DANA LUBES COMPANY | GEAR OIL 320 | GEAR OIL 320 | 1 | DRM | DRILLING | 923 | 2026-04-20 00:00:00 | 152 | 0 | 152 | 
30 | RCP0005543 | LUBR-0049 | KUWAIT DANA - KUWAIT DANA LUBES COMPANY | AUTOMATIC TRANSMISSION FLUID | AUTO | 1 | DRM | DRILLING | 923 | 2026-04-20 00:00:00 | 154 | 0 | 154 | 
31 | RCP0005544 | MECH-1750 | SHANGHAI SHE - SHANGHAI SHENKAI PETROLEUM SCIENCE & TECHNOLOGY CO.LTD | HOOK LOAD PRESSURE SENSOR MODULE:SK-8Y91B,6MP | HOOK LOAD PRESSURE SENSOR MODULE:SK-8Y91B,6MP | 1 | EA | DRILLING | 923 | 2026-04-20 00:00:00 | 350 | 0 | 350 | 
32 | RCP0005545 | CTUB-0754 | GD ENERGY FZ - GD ENERGY FZE | 18814, VOLUTE | 18814 | 6 | EA | COIL TUBE | 911 | 2026-04-20 00:00:00 | 264.910166666667 | 0 | 1589.461 | 
33 | RCP0005545 | CTUB-0755 | GD ENERGY FZ - GD ENERGY FZE | 18823, CW IMPELLER | 18823 | 6 | EA | COIL TUBE | 911 | 2026-04-20 00:00:00 | 99.9766666666667 | 0 | 599.86 | 
34 | RCP0005545 | CTUB-0756 | GD ENERGY FZ - GD ENERGY FZE | 18824, CCW IMPELLER | 18824 | 2 | EA | COIL TUBE | 911 | 2026-04-20 00:00:00 | 99.983 | 0 | 199.966 | 
35 | RCP0005545 | CTUB-0752 | GD ENERGY FZ - GD ENERGY FZE | 25BC423, O-RING | 25BC423 | 10 | EA | COIL TUBE | 911 | 2026-04-20 00:00:00 | 4.3863 | 0 | 43.863 | 
36 | RCP0005545 | CTUB-0758 | GD ENERGY FZ - GD ENERGY FZE | 25BC347, O-RING | 25BC347 | 10 | EA | COIL TUBE | 911 | 2026-04-20 00:00:00 | 3.3918 | 0 | 33.918 | 
37 | RCP0005545 | CTUB-0751 | GD ENERGY FZ - GD ENERGY FZE | 25BC205, O-RING | 25BC205 | 10 | EA | COIL TUBE | 911 | 2026-04-20 00:00:00 | 3.9074 | 0 | 39.074 | 
38 | RCP0005545 | CTUB-0743 | GD ENERGY FZ - GD ENERGY FZE | 18826, IMPELLER SHAFT, SPLINED | 18826 | 12 | EA | COIL TUBE | 911 | 2026-04-20 00:00:00 | 108.896666666667 | 0 | 1306.76 | 
39 | RCP0005545 | CTUB-0740 | GD ENERGY FZ - GD ENERGY FZE | 18838-T, IMPELLER LOCK | 18838-T | 10 | EA | COIL TUBE | 911 | 2026-04-20 00:00:00 | 11.4922 | 0 | 114.922 | 
40 | RCP0005545 | CTUB-1009 | GD ENERGY FZ - GD ENERGY FZE | 23136, BEARING LOCK WASHER | 23136 | 10 | EA | COIL TUBE | 911 | 2026-04-20 00:00:00 | 1.5409 | 0 | 15.409 | 
41 | RCP0005545 | CTUB-1013 | GD ENERGY FZ - GD ENERGY FZE | 89702, BEARING LOCK NUT | 89702 | 6 | EA | COIL TUBE | 911 | 2026-04-20 00:00:00 | 4.3065 | 0 | 25.839 | 
42 | RCP0005545 | CTUB-0741 | GD ENERGY FZ - GD ENERGY FZE | 18835-T, STUFFING BOX | 18835-T | 2 | EA | COIL TUBE | 911 | 2026-04-20 00:00:00 | 56.608 | 0 | 113.216 | 
43 | RCP0005546 | TIRE-0050 | AL MUTAWA - ALMUTAWA & SAHNI CO. | 14.00R20 TIRE, SEPRATOR TRAILER | 14.00R20 | 2 | EA | WELL TEST | 602 | 2026-04-22 00:00:00 | 195 | 0 | 390 | 
44 | RCP0005546 | CONS-0697 | AL MUTAWA - ALMUTAWA & SAHNI CO. | 14.00R20 TUBE | 14.00R20 TUBE | 2 | EA | WELL TEST | 602 | 2026-04-22 00:00:00 | 15 | 0 | 30 | 
45 | RCP0005546 | CONS-0698 | AL MUTAWA - ALMUTAWA & SAHNI CO. | 1400 R 20 PROTECTOR | 14.00 R 20 | 2 | EA | WELL TEST | 602 | 2026-04-22 00:00:00 | 10 | 0 | 20 | 
 |  |  |  |  |  |  |  |  |  |  |  | TOTAL: | 32139.226 | 
 |  |  |  |  |  |  |  |  |  |  | SLK |  |  | 
 |  |  |  |  |  |  |  |  |  |  | IT |  |  | 
 |  |  |  |  |  |  |  |  |  |  | MNT |  |  | 
 |  |  |  |  |  |  |  |  |  |  | HSE |  |  | 
 |  |  |  |  |  |  |  |  |  |  | WELL TEST | 885.83 |  | 
 |  |  |  |  |  |  |  |  |  |  | COIL TUBE | 28908.098 |  | 
 |  |  |  |  |  |  |  |  |  |  | WIRELINE |  |  | 
 |  |  |  |  |  |  |  |  |  |  | DRILLING | 2023 |  | 
 |  |  |  |  |  |  |  |  |  |  | PCP |  |  | 
 |  |  |  |  |  |  |  |  |  |  | HR |  |  | 
 |  |  |  |  |  |  |  |  |  |  | PROCUREMNT |  |  | 
 |  |  |  |  |  |  |  |  |  |  | SULPHER TRNSP. |  |  | 
 |  |  |  |  |  |  |  |  |  |  | STORE |  |  | 
 |  |  |  |  |  |  |  |  |  |  | MANAGEMENT |  |  | 
 |  |  |  |  |  |  |  |  |  |  | KHAFJI | 322.298 |  | 
 |  |  |  |  |  |  |  |  |  |  | TOTAL: | 32139.226000000002 |  | 
