month,meter_2401_1_tr,meter_2401_2_tr,total_tr
2023-01-01,12167.7,8090.19,20257.89
2023-02-01,10705.31,4941.63,15646.94
2023-03-01,48832.01,42261.93,91093.94
2023-04-01,44631.38,38108.5,82739.88
2023-05-01,92111.9,103376.23,195488.13
2023-06-01,108327.54,132851.61,241179.15
2023-07-01,123137.37,142293.41,265430.78
2023-08-01,145725.18,149811.78,295536.96
2023-09-01,111631.06,113992.83,225623.89
2023-10-01,107347.68,114852.12,222199.8
2023-11-01,76780.3,75870.68,152650.98
2023-12-01,37742.27,38258.07,76000.34
2024-01-01,29829.23,28559.06,58388.29
2024-02-01,28492.8,28211.59,56704.39
2024-03-01,32719.03,36263.67,68982.7
2024-04-01,55375.08,61304.53,116679.61
2024-05-01,88462.33,100468.8,188931.13
2024-06-01,121842.74,113121.59,234964.33
2024-07-01,153098.25,160167.35,313265.6
2025-02-01,8385.34,7787.64,16172.98
